管理番号,管轄会社,優先,都道府県名,（採）拠点,求人No.,企業名,形態,募集人数,職種,勤務地,資格,勤務時間,休日,時給/日給,月収目安,月収例内訳,年収目安,シフト,最寄り駅,通勤手段,交通費,寮費,寮形態,年齢,性別,TT（50057-01ダイハツ九州以外和彫り不可）,色弱,カップル,外国籍,サイズ制限,案件備考,紹介料,特約事項（定着）,備考（紹介料）,面接〆切,赴任日,入社日,選考にかかる日数,最終紹介日⇒入社日,勤務地市町村
os555,OS,,長野,(採)池袋,11053-01,都筑製作所（丸子工場）,派遣,0名,建機・自動車部品の製造(加工・組立・研磨・検査),長野県上田市藤原田39番地の7,"【必要資格】 ・特になし 【契約期間】 ・3ヶ?更新 【試用期間】 ・2週間(1,500円/時) 【就業場所における受動喫煙対策】 ・屋内禁煙（屋外に喫煙場所あり）",①08:10～17:10　休憩65分 ?19:00～04:00　休憩65分,土日,"1,500円/時",33万円程度,勤務/20日 残業/35h 深夜/50h 休出/8h,384万円程度,2交替,田中駅,車,上限3万円迄/月,実費,個室寮,未経験30代迄 ※40代以上機械加工経験必須,男性のみ,不可,不可,不可,可 (コミュニケーション問題ない、日本語読める方),4L迄,"・精皆勤手当て50,000円 ※出勤率90%以上（精皆勤手当てにおいて遅刻・早退は欠勤扱いとします。） ・車通勤はスタットレスタイヤ必須 ・長期就業希望の方",20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,毎週月曜日,随時,随時問い合わせ,長野県 上田市
os556,OS,,山梨,(採)池袋,11522-02,キヤノンアネルバ,派遣,6名,■生産管理部 ロジスティクス課　男性のみ ⇒構内物流・部品の入出庫作業・振替作業：8名 ⇒物品の入庫・出荷・梱包・構内運搬作業：名 ■部品製造第一課　1名 ⇒受付業務、運搬業務、軽作業サポート ■生産管理部　お伺い　【派遣先職場】生産管理部 生産支援課→充足 ・業務内容　データ確認、部品振分、入力作業、入庫登録、部品の仕分け、運搬、欠品部品捜索等　※パソコンを使える方をお願いいたします。 （Excel使用経験ある方※マクロ使えなくても可） ■調達部　複数名　【派遣先職場】調達部 調達第二課および第三課 ・業務内容　調達業務/支給品管理発送/受付業務/各種帳票整理/一般事務業務 ※引き続きご紹介いただきたく、今後はデータ処理が主な業務になるため できれば女性でお願いいたします。（データ業務は女性のほうが丁寧な傾向にあるため）※PC入力作業に抵抗のない方。,?梨県南都留郡鳴沢村8532-28,"【必要資格】 ・生産管理 製造経験必須、業種問わず　PCスキル求められます。 （Word、Excel、PowerPoint等） ・調達業務 事務経験必須　PCスキル求められます。 （Word、Excel、PowerPoint等） 【試用期間】 ・2週間( 1,600円／時) 【契約期間】 ・3か月更新 【就業場所における受動喫煙対策】 ・全面禁煙",08:30～17:00　休憩60分,土日 ※祝日がある週は土曜出勤の可能性あり,"1,600円/時",28万円程度,勤務/20日 残業/9h 深夜/0h 休出/0h,330万円程度,日勤,-,車 自転車,上限3万円迄/月,無料,個室寮,49歳迄,男性のみ,不可,可（自動車運転免許所有者）,不可,不可,4L迄,・長期就業可能な方 ・現在調達部、ロジスティクス課でご紹介可能になります。 ■生産管理部 ロジスティクス課　男性のみ　8名 ⇒構内物流・部品の入出庫作業・振替作業：8名 ⇒物品の入庫・出荷・梱包・構内運搬作業：名 ■部品製造第一課　1名 ⇒受付業務、運搬業務、軽作業サポート  ■調達部　男性のみ ⇒調達バイヤー業務補佐、調達資料準備（主に図面）：５名程度 ・調達第二課　4名 業務内容　　バイヤー業務補佐、支給品管理、その他 ・部品製造第二課　0名 業務内容　　電装・配管ユニット部品組立・組込、軽作業サポート,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時,不明
os557,OS,,山梨,(採)池袋,12037-01,シャトレーゼ,派遣,0名,■菓子製造業務(機械OP/検査/梱包等) 菓子製造装置のオペレーション、装置への原材料充填作業、目視検査作業 手作業による加工、包装、検品、梱包作業及びその付帯業務 ■資材課業務(原材料の量り仕分/商品梱包等) 商品の仕分け作業、台車の運搬作業、原材料の量り仕分け作業、包装、検品、梱包作業及びその付帯業務 ■物流業務(商品仕分/梱包等) 商品の仕分け作業、台車の運搬作業、包装、検品、梱包作業及びその付帯業務,山梨県中央市高部1111-1,"【必要資格】 ・なし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,300円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①06:00～15:00　休憩 60分 ②07:00～16:00　休憩 60分 ③08:00～17:00　休憩 60分 ④09:00～18:00　休憩 60分 ⑤10:00～19:00　休憩 60分 ⑥11:00～20:00　休憩 60分 ※時間21:00過ぎる可能性あり 選択不可のため何時でも対応可能な方,シフト制,"1,300円/時",26万円程度,勤務/22日 残業/25h 深夜/0h 休出/0h,310万円程度,日勤,東花輪駅,車,上限3万円迄/月,無料,個室寮,55歳迄,男女可,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,可（自動車運転免許所有者）,応相談 ※同シフト不可,不可,4L迄,・入寮者も車の持ち込み必須 ・腰痛不可 ・作業着サイズ4L迄だがBMI30以上不可,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,毎週月曜日,4～5日程度,随時問い合わせ,山梨県 中央市
os558,OS,,山梨,(採)池袋,11519-01,キッツ長板,派遣,2名,バルブ部品の組立/加工/検査,山梨県北杜市長坂町長坂上條2040,"【必要資格】 ・加工、組立経験者のみ 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,600円／時) 【就業場所における受動喫煙防止措置】 ・屋外喫煙室のみ可",①08:25～17:25 　休憩60分 ②05:00～13:20　 休憩45分 ③13:15～21:35 　休憩45分 ④21:05～05:05 　休憩45分,土日 ※祝日は勤務ｶﾚﾝﾀﾞｰによる,"1,600円/時",32万円程度,勤務/21日 残業/30h 休出/7.5h,384万円程度,日勤 ※生産状況により交替勤務の可能性あり,長坂駅,車,上限3万円迄/月,-,寮対応無,20代～50歳迄　※40歳以上は鋳造経験者のみ,男性のみ,不可,不可,可,可（日本語の読み書き会話問題なし）,5L迄,・日系ブラジル人多数。 ・重量物（10kg~15kg程度）の扱い有り。立ち作業。腰痛がある方不可。 ・残業、休日出勤あり。 ・自力で通勤できる方。 ・工場見学必須 ・女性要相談：自動車系工場や工場での肉体労働経験ある方,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,-,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,山梨県 北杜市
os559,OS,,山梨,(採)池袋,11534-02,シチズンファインデバイス,派遣,5名,自動車部品の表面処理業務（機械OP、重量物あり） 自動車部品の切削工程で製品のチェック業務,山梨県南都留郡富士河口湖町船津6663-2 ,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,400円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙",3交替　各休憩60分 ①08:30～17:30 ②17:00～02:00 ③23:30～08:30　,土日祝,"1,400円/時",29万円程度,勤務/21日 残業/10h 深夜/90h 休出/8h,300万円程度,日勤 2交替 3交替,富士急ハイランド駅,車 バイク 自転車,上限3万円迄/月,-,寮対応無,20歳～49歳迄,男女可,不可,不可,不可,応相談,5L迄,・交替勤務可能者・残業・休日出勤あり（40h前後） ・立ち仕事、身体に不調がない ・現在2交替もしくは日勤専属の案内になります（総支給26万円程度）,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,山梨県 南都留郡富士河口湖町
os560,OS,,山梨,(採)池袋,1483283,昭和産業,派遣,3名,半導体製造装置/液晶ﾊﾟﾈﾙ組立,山梨県韮崎市上ノ山3850,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,200円／時) 【就業場所における受動喫煙防止措置】 ・屋外禁煙（屋外に喫煙場所あり）",①08:45～17:30　休憩75分 ②09:00～17:45　休憩75分,土日 ※ 祝日に関しては会社ｶﾚﾝﾀﾞｰに準ずる,"1,200円/時",22万円程度,勤務/20日 残業/20h 深夜/0h 休出/8h,260万円程度,日勤,韮崎駅,車,上限3万円迄/月,-,寮対応無,49歳迄,男女可,(完全に半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※ ,可,応相談 ※同シフト不可,不可,4L迄,・男女可 ・40代まで ・クリーンルーム内、立ち作業 ・外国籍NG　それ以外相談可 ・通勤は自家用車のみとなります ・勤務地：東京エレクトロン藤井事業所（所在地：山梨県韮崎市藤井町北下条2381-1）or昭和産業S１工場 ※日によって配属先工場が変わりますのでご対応できる方。,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,山梨県 韮崎市
os561,OS,,山梨,(採)池袋,11521-01,京西スタッフサービス,派遣,10名,装置の組み立て・検査・梱包,山梨県甲府市大津町1088-3,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,134円／時) 【就業場所における受動喫煙防止措置】 ・屋外喫煙室のみ可",08:30～17:15　休憩60分,土日祝,"1,134円/時",20万円程度,勤務/21日 残業/40h 休出/0h,240万円程度,日勤,国母駅 東花輪駅,車 バイク 自転車,上限3万円迄/月,-,寮対応無,20代～40代迄 ※55歳まで経験あれば可,男女可,不可,不可,可,可（日本語の読み書き会話問題ない方）,4L迄,・残業できることが必須条件になります。,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,山梨県 甲府市
os562,OS,,山梨,(採)池袋,11523-01,新開トランスポートシステムズ　山梨,派遣,2名,倉庫内での入出庫業務,山梨県中央市中楯753-2,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,176円／時) 【就業場所における受動喫煙防止措置】 ・屋外喫煙室のみ可",08:30～17:15　休憩60分,土日祝 ,"1,176円/時",20万円程度,勤務/21日 残業/10h 休出/0h,240万円程度,日勤,国母駅,車 バイク 自転車,上限3万円迄/月,-,寮対応無,30代迄,男性のみ,不可,不可,不可,不可,4L迄,・残業できることが必須条件になります。,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,山梨県 中央市
os563,OS,,山梨,(採)池袋,1202746,ミネベアパワーデバイス（旧：日立パワーデバイス）,派遣,0名,パワー半導体の組立/検査/梱包 ※20㎝四方の物を組上げていきます。 ※部署によりクリーンルーム内外の作業あり,山梨県中央市一町畑545,"【必要資格】 ・1年以上製造経験必須 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,450円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙",① 08:50?17:35　休憩45分 ② 20:50?05:35　休憩45分,4勤2休,"1,450円/時",29万円程度,勤務/19日 残業/30h 深夜/57h 休出/0h,350万円程度,2交替,東花輪駅,車 バイク 自転車,上限3万円迄/月,無料,個人寮,49歳迄,男女可,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,可（自動車運転免許所有者）,不可,不可,4L迄,・1年以上製造経験必須 ・梱包や軽作業系・倉庫内作業は対象外 ・腰痛不可 ・作業着サイズ4L迄だがBMI30以上不可 ・事前の工場見学参加必須,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,山梨県 中央市
os564,OS,,山梨,(採)池袋,12328-01 12328-02,コミヤマエレクトロン,派遣,6名,医療機器装置組立のSUB（装置の部分ユニット）組立,山梨県南都留郡鳴沢村4450,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間（1,600円/時） 【就業場所における受動喫煙防止措置】 ・屋内禁煙",現在日勤だがいずれ二交代になるのでどちらでも対応できる方 ①08:20～17:30　休憩 70分 ②06:00～15:10   休憩 70分 ③14:50～00:00   休憩 70分,土日,"1,600円/時",30万円程度,勤務/19日 残業/10h 深夜/40h 休出8/h,350万円程度,現在日勤→徐々に2交替,鳴沢駅,車,上限3万円迄/月,無料,レオパレス,49歳迄,男女可,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,可,応相談 ※同シフト不可,不可,4L迄, ・女性は1名のみの欠員となります ・工場見学時スーツもしくはジャケット着用必須 ・腰痛　ペースメーカー　補聴器、骨折による手術などで体内にボルトなど入っている方NG ・作業手順書を読みながらの業務、コミュニケーション能力重要（合否にかなり影響します。）見学後の合否判定 ・車持ち込み必須,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,山梨県 南都留郡鳴沢村
os565,OS,,山梨,(採)池袋,11524-01, コニカミノルタ,派遣,1名,液晶パネル内に使用される機能性フィルムの製造オペレーター業務,山梨県中央市極楽寺1221,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間（1,400円/時） 【就業場所における受動喫煙防止措置】 ・全面禁煙",①08:30～20:40  休憩60分 ②20:30～08:40  休憩60分,シフト制,"1,400円/時",24万円程度,勤務/15日 残業/37.5h 深夜/45h 休出0/h,290万円程度,2交替,東花輪駅,車 バイク 自転車,上限3万円迄/月,無料,レオパレス,49歳迄（45歳以上は経験必須）　,男性のみ,不可,可,不可,可（日本語の読み書き会話問題なく手順書や図面が読めれば可）,4L迄,人物面重視,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,随時,4～5日程度,随時問い合わせ,山梨県 中央市
os566,OS,,山梨,(採)池袋,12431-01,メイコー,派遣,3名,クリーンルーム内にて装置の組立、組付け業務,山梨県甲斐市下今井732,"【必要資格】 ・食品工場を除くクリーンルーム内での作業経験必須 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間（1,200円/時） 【就業場所における受動喫煙防止措置】 ・全面禁煙",①08:30～17:15  休憩45分,土日祝,"1,200円/時",19万円程度,勤務/20日 残業/5h 深夜/0h 休出0/h,228万円程度,日勤,塩崎駅,車 バイク 自転車,上限3万円迄/月,-,寮対応無,49歳迄（全年齢クリーンルーム内作業の経験必須） ※クリーンルーム内で半導体製造装置などの組立経験があれば50～55歳迄男女紹介可能,男女可,不可,不可,不可,不可,3L迄,年齢問わずクリーンルーム内作業の経験必須となります。 クリーンルーム内作業での作業になります。 ユニット単位で組み立てを行い、組付けて装置を完成させる ,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,随時,4～5日程度,随時問い合わせ,山梨県 甲斐市
os567,OS,,山梨,(採)池袋,11541-01,日邦プレシジョン,派遣,5名,半導体製造装置の組立・検査,山梨県韮崎市穂坂町宮久保734 山梨県南アルプス市藤田2170-1 ※選択不可,"【必要資格】 ・製造経験必須（工具を使っての組立経験者） 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間（1,200円/時） 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:20～17:15  休憩70分,土日祝,"1,200円/時",21万円程度,勤務/21日 残業/10h 深夜/0h 休出0/h,250万円程度,日勤,-,車 バイク,上限3万円迄/月,-,寮対応無,49歳迄,男性のみ,不可,不可,不可,不可,4L迄,"【男性：11541-01,-02,-03のいずれかに配属・女性11541-02,-03のいずれかに配属で選択不可になります】 【配属工場】 日邦プレシジョン（山梨県韮崎市穂坂町宮久保734） 株式会社ミラプロ若草　第6工場（山梨県南アルプス市藤田2170-1）のいずれかに配属となります。 ・事前の職場見学参加必須 グループでフラットパネルディスプレイ製造装置を組み立てていきます。 ・組立て図面、作業手順書を使用して装置を製作し、製品により変動ありますが5日から1カ月かけて1台を完成させます。 ・現在痛みがなくても腰痛持ちや高血圧や糖尿病など何かしら薬服用されている方は紹介不可でお願いいたします。 ・先方の工場見学の際に工具の扱い方を問われるそうです",10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,随時,4～5日程度,随時問い合わせ,不明
os568,OS,,山梨,(採)池袋,11541-02,日邦プレシジョン,派遣,1名,露光装置の調整・検査工程,山梨県韮崎市穂坂町宮久保734 ,"【必要資格】 ・製造経験必須（工具を使っての組立経験者） 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間（1,200円/時） 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:30～17:20  休憩65分,土日祝,"1,200円/時",21万円程度,勤務/21日 残業/10h 深夜/0h 休出0/h,250万円程度,日勤,-,車 バイク,上限3万円迄/月,-,寮対応無,49歳まで,男女可,不可,不可,不可,不可,4L迄,"【男性：11541-01,-02,-03のいずれかに配属・女性11541-02,-03のいずれかに配属で選択不可になります】 ・事前の職場見学参加必須 露光装置の調整・検査工程 ・装置オペレーション（装置上のタッチパネルやPC上での操作となります） ・PCを用いた入力作業（検査成績書へのデータ入力が主となります） ・電子顕微鏡での計測作業（装置でプロセス処理したサンプルの測定など） ・調整検査に関連する組立全般（ネジ締結、ケーブル接続など）が業務内容となります。 ・現在痛みがなくても腰痛持ちや高血圧や糖尿病など何かしら薬服用されている方は紹介不可でお願いいたします。 ・先方の工場見学の際に工具の扱い方を問われるそうです",20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,随時,4～5日程度,随時問い合わせ,不明
os569,OS,,山梨,(採)池袋,11541-03,日邦プレシジョン,派遣,17名,半導体製造装置の組立・検査,山梨県韮崎市藤井町北下條2381-1,"【必要資格】 ・製造経験必須（工具を使っての組立経験者） 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間（1,200円/時） 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:30～17:30  休憩75分,土日祝,"1,200円/時",21万円程度,勤務/21日 残業/18h 深夜/0h 休出0/h,250万円程度,日勤,-,車 バイク,上限3万円迄/月,-,寮対応無,49歳迄,男女可,不可,不可,不可,不可,4L迄,"【男性：11541-01,-02,-03のいずれかに配属・女性11541-02,-03のいずれかに配属で選択不可になります】 【配属工場】 東京エレクトロンテクノロジーソリューションズ株式会社（山梨県韮崎市藤井町北下條2381-1） ・事前の職場見学参加必須 グループでフラットパネルディスプレイ製造装置を組み立てていきます。 ・組立て図面、作業手順書を使用して装置を製作し、製品により変動ありますが5日から1カ月かけて1台を完成させます。 ・現在痛みがなくても腰痛持ちや高血圧や糖尿病など何かしら薬服用されている方は紹介不可でお願いいたします。 ・先方の工場見学の際に工具の扱い方を問われるそうです",10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,随時,4～5日程度,随時問い合わせ,山梨県 韮崎市
os570,OS,,山梨,(採)池袋,11692-01,フジミ 夜勤2交替：11692-01,派遣,1名,自動車部品機械加工、抜取検査,山梨県南都留郡富士河口湖町富士船津6663-2 ,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,350円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",夜勤専属2交替 ※17:00～02:00　　　休憩60分 ※00:00～09:00  　　 休憩60分　　　　,土日祝,"1,350円/時",【夜勤】 28万円程度,【夜勤】 勤務/20.3日 残業/10h 深夜/90h 休出/8h,【夜勤】 330万円程度,夜勤2交替,河口湖駅,車 バイク 自転車,上限3万円迄/月,無料,個室寮,未経験45歳迄・経験者52歳迄,【夜勤】 男性のみ,不可,可（免許所有者）,不可,可 ※日本語が流暢に話せて手順書も読める方、計算なども出来れば可,4L迄,・事前の職場見学参加必須 ・腰痛不可 ・休出?忙期2-4回ほどある可能性有 ・オイルの香りがきつい ・作業内容によって計算をすることがあるため抵抗がない方,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,随時,4～5日程度,随時問い合わせ,山梨県 南都留郡富士河口湖町
os571,OS,,山梨,(採)池袋,11542-02,住友電工デバイスイノベーション,派遣,0名,光デバイス、電子デバイス用ICチップの製造業務,山梨県中巨摩郡昭和町紙漉阿原1000,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間（1,450円/時） 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:30～18:00  休憩75分 ②20:30～06:00  休憩75分,シフト制,"1,450円/時",26万円程度,勤務/15日 残業/41.25h 深夜/45h 休出0/h,312万円程度,4勤2休,国母駅,車 バイク 自転車 徒歩 公共交通機関,上限3万円迄/月,無料,個人寮,45歳まで,男女可,不可,不可,不可,不可,4L迄,・事前の職場見学参加必須 ・微細作業のため出来れば若い方が好ましい ・作業的に右利きの方のみ紹介可能 ・公共交通機関だと最寄り駅から徒歩20分程度になります ・作業工程が2つに分かれますが選択不可になります。 ①光デバイス製品のパイロット試験・チップ選別・評価・外観検査 および光デバイス製品の組立・試験・検査作業 ②光デバイス製品の端面膜付・初品評価,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,随時,4～5日程度,随時問い合わせ,山梨県 中巨摩郡昭和町
os572,OS,,山梨,(採)池袋,1362753,富士マイクロデバイス　甲府,派遣,15名,半導体製造,山梨県甲府市大津町941-7,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間（1,600円/時） 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:30～18:10  休憩70分 ②20:30～06:10  休憩70分,シフト制,"1,600円/時",33万円程度,勤務/20日 残業/20h 深夜/57.5h 休出0/h,400万円程度,2交替,-,車 バイク 自転車,上限3万円迄/月,無料,個室寮,未経験49歳迄・経験者52歳迄,女性のみ,不可,不可,不可,不可,4L迄,・事前の職場見学参加必須 ・定着とやる気を求められてます。 ⇒人物面重視の選考となります。,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,随時,4～5日程度,随時問い合わせ,山梨県 甲府市
os573,OS,,山梨,(採)池袋,12618-01,富士マイクロデバイス　南都留,派遣,10名,半導体製造,山梨県南都留郡富士河口湖町船津6125,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間（1,600円/時） 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:30～18:10  休憩70分 ②20:30～06:10  休憩70分,シフト制,"1,600円/時",33万円程度,勤務/20日 残業/20h 深夜/57.5h 休出0/h,400万円程度,2交替,-,車 バイク 自転車,上限3万円迄/月,無料,個室寮,未経験49歳迄・経験者52歳迄,男女可,不可,不可,不可,不可,4L迄,・事前の職場見学参加必須 ・定着とやる気を求められてます。 ⇒人物面重視の選考となります。 ・入寮希望者はアップダウンが激しい為、車かバイク推奨です。,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,随時,4～5日程度,随時問い合わせ,山梨県 南都留郡富士河口湖町
os574,OS,,山梨,(採)池袋,12692-01,旭陽電気,派遣,10名,半導体を製造する機械装置を組み?て、配線,山梨県韮崎市藤井町北下條2381-1,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,600円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",08:30～17:15　休憩75分,土日祝,"1,600円/時",28万円程度,実働/20日 残業20h 深夜/0h 休出0h,340万円程度,日勤,新府駅,車 バイク 自転車 徒歩,上限3万円迄/月,,寮対応無,55歳迄,男女可,不可,不可,不可,不可,4L迄,・事前工場見学参加必須 ・クリーンルーム内作業になるため就業中はネイルやアクセサリーの装着不可 ・健康面良好な方（業務に支障なくても薬服用や通院ない方が好ましい）,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,随時,随時,随時問い合わせ,山梨県 韮崎市
os575,OS,,神奈川,(採)横浜,1410628,AESCジャパン　相模原,派遣,20名,リチウムイオン電池電極製造 ,神奈川県相模原市中央区下九沢1120番地,"【必要資格】 ・特になし　※フォーク資格所有者は入社までスムーズです。 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間（1,600円／時） 【就業場所における受動喫煙防止措置】 ・屋外禁煙（屋外に喫煙場所あり）",①07:30～19:45　休憩105分 ②19:30～07:45　休憩105分,3勤3休,"1,600円/時",25万円程度,勤務/14日 残業/0H 深夜/38.5H 休出/0H,300万円程度,2交替,南橋本駅,バイク 自転車 公共交通機関,上限3万円迄/月,無料,個室寮,50歳迄,男性のみ,不可,不可,不可,不可,3L迄 ウエスト100以下,■注意事項 フォーク資格が必須となります。 赴任後にフォークの講習を受講いただき、資格取得後に正式配属となります。 (フォーク運用する仕事ではないですが、安全衛生の為にフォーク免が必要な為に取得必須です) ■補足事項 ・赴任日（入寮） フォーク所持者  ：入社日の前日（土日祝除く）に赴任（入寮） フォーク未所持者：フォーク講習の前日（土日祝除く）に赴任（入寮） ■資格取得の目安 自動車免許あり：4日間 自動車免許なし：講習日程が少ないので、フォーク講習会の都合で入社が１ヶ月以上先になるケースもあります。 ,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,毎週月曜入社 10月28日(月)入社　10月18日(金)〆(フォーク講習の予約状況次第),神奈川県 相模原市
os576,OS,,神奈川,(採)横浜,11473-01,日立リアルエステートパートナーズ,派遣,0名,■設備運転保守,神奈川県相模原市中央区小山4-1-55,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間（1,400円/時） 【就業場所における受動喫煙対策】 ・屋内禁煙（喫煙室あり）",①09:00～17:30　休憩 45分 ②16:30～09:00　休憩 90分,シフト制 ※企業作成の別紙カレンダーあり,"1,400円/時",26万円程度,勤務19.6日/残業28h 深夜25h/休出0日,312万円程度,2交替,橋本駅から徒歩で12分,自転車 公共交通機関 （車・バイクNG）,上限3万円迄/月,実費,個室寮,30歳迄,男性のみ,(完全に長袖で隠れる範囲且つワンポイントなら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,・夜勤配属は完全一人での対応かつ労働時間内で仮眠を取ったりすることも可能な為 とても真面目で信頼できる方は企業は望んでおります,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,-,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,神奈川県 相模原市
